harbor_seal,reference,ca_sea_lion,northern_elephant_seal,reference_gene_symbol,is_mt
XP_032258128.1,XP_022283022.1,XP_027429917.1,XP_064431390.1,ADAM22,False
XP_032258129.1,XP_005628530.1,XP_027429920.1,XP_064431391.1,ADAM22,False
XP_032258130.1,XP_005628531.1,XP_027429921.1,XP_064431378.1,ADAM22,False
XP_032258132.1,XP_005628532.1,XP_027429922.1,XP_064431381.1,ADAM22,False
XP_032258135.1,XP_532451.2,XP_027428881.1,XP_064431392.1,DBF4,False
XP_032258136.1,XP_005628521.1,XP_027428882.1,XP_064431393.1,DBF4,False
XP_032258138.1,XP_038291706.1,XP_027428884.1,XP_045720728.1,RUNDC3B,False
XP_032258144.1,XP_022283005.1,XP_027428893.1,XP_045720734.1,SLC25A40,False
XP_032258145.1,NP_001003215.2,XP_027429254.1,XP_064431399.1,ABCB1,False
XP_032258147.1,XP_539402.2,XP_027430689.1,XP_064431404.1,CROT,False
XP_032258148.1,XP_853052.2,XP_027446192.1,XP_045723952.1,CNOT9,False
XP_032258152.1,XP_038299115.1,XP_027430007.1,XP_064431402.1,DMTF1,False
XP_032258153.1,XP_038295785.1,XP_027430012.1,XP_064431409.1,TMEM243,False
XP_032258156.1,XP_038298729.1,XP_027430782.1,XP_064431411.1,ELAPOR2,False
XP_032258158.1,XP_022282992.2,XP_027430040.1,XP_045721103.1,GRM3,False
XP_032258159.1,XP_533138.2,XP_027429938.2,XP_064431412.1,SEMA3D,False
XP_032258160.1,XP_038310211.1,XP_027430567.1,XP_064431415.1,SEMA3A,False
XP_032258162.1,XP_038310220.1,XP_035579272.1,XP_045720751.1,SEMA3E,False
XP_032258168.1,XP_038309724.1,XP_027429586.1,XP_064431421.1,CACNA2D1,False
XP_032258169.1,XP_038309725.1,XP_027429587.1,XP_064431422.1,CACNA2D1,False
XP_032258172.1,NP_001002964.1,XP_027430441.1,XP_045720753.1,HGF,False
XP_032258174.1,XP_533139.2,XP_027430310.2,XP_064431426.1,SEMA3C,False
XP_032258180.1,NP_001171205.2,XP_027429048.1,XP_054361292.1,CD36,False
XP_032258181.1,XP_849666.1,XP_027430115.1,XP_045720994.2,GNAT3,False
XP_032258182.1,XP_038310094.1,XP_027429792.1,XP_045720763.1,GNAI1,False
XP_032258183.1,XP_038310011.1,XP_027430316.1,XP_064431453.1,PHTF2,False
XP_032258184.1,XP_005631051.1,XP_027429450.1,XP_045720775.1,TMEM60,False
XP_032258186.1,XP_038310230.1,XP_027429451.1,XP_045720776.1,RSBN1L,False
XP_032258192.1,XP_038310096.1,XP_027429087.1,XP_045720784.1,GSAP,False
XP_032258197.1,XP_533109.2,XP_027429683.1,XP_045720788.1,FGL2,False
XP_032258198.1,XP_852499.1,XP_027429678.1,XP_054361355.2,CCDC146,False
XP_032258199.1,XP_003432345.1,XP_027429397.2,XP_064431456.1,LRRC17,False
XP_032258200.1,XP_038309874.1,XP_027430720.1,XP_045720790.1,FAM185A,False
XP_032258204.1,XP_038310106.1,XP_027429391.1,XP_045720797.2,NAPEPLD,False
XP_032258209.1,XP_849564.1,XP_027429398.1,XP_064431459.1,ARMC10,False
XP_032258210.1,NP_001300791.1,XP_027445631.1,XP_045723956.1,USP37,False
XP_032258211.1,XP_038310440.1,XP_027428990.1,XP_045720798.1,DNAJC2,False
XP_032258212.1,XP_038310441.1,XP_027428992.1,XP_045720799.1,DNAJC2,False
XP_032258213.1,XP_005631033.1,XP_027428993.1,XP_045720800.1,PMPCB,False
XP_032258214.1,XP_533103.3,XP_027428994.1,XP_045720801.1,PSMC2,False
XP_032258217.1,XP_852382.2,XP_027430754.1,XP_045720810.1,ORC5,False
XP_032258221.1,XP_038309834.1,XP_027428762.1,XP_045720999.1,LHFPL3,False
XP_032258225.1,XP_533102.4,XP_027430620.2,XP_045720812.1,KMT2E,False
XP_032258228.1,XP_038310270.1,XP_027430634.1,XP_045720815.1,SRPK2,False
XP_032258230.1,XP_038310263.1,XP_027430631.1,XP_054361315.1,SRPK2,False
XP_032258234.1,XP_038309669.1,XP_027429821.1,XP_045720821.1,PUS7,False
XP_032258236.1,XP_005631022.1,XP_027429132.1,XP_045720822.1,RINT1,False
XP_032258237.1,XP_852189.1,XP_027429133.1,XP_064431476.1,EFCAB10,False
XP_032258241.1,XP_038310366.1,XP_027429134.1,XP_054361317.2,ATXN7L1,False
XP_032258242.1,XP_038310367.1,XP_027429135.1,XP_064431477.1,ATXN7L1,False
XP_032258245.1,XP_038310369.1,XP_027429138.1,XP_045720827.2,ATXN7L1,False
XP_032258246.1,XP_038310370.1,XP_027429139.1,XP_045720828.2,ATXN7L1,False
XP_032258247.1,XP_038310372.1,XP_027429145.1,XP_045720830.1,ATXN7L1,False
XP_032258249.1,XP_038310010.1,XP_027430886.1,XP_045720833.1,SYPL1,False
XP_032258250.1,XP_038310009.1,XP_027430885.1,XP_045720831.1,NAMPT,False
XP_032258253.1,XP_540385.2,XP_027429964.2,XP_045720838.1,PIK3CG,False
XP_032258257.1,XP_852050.2,XP_027430258.1,XP_045720835.1,CCDC71L,False
XP_032258258.1,XP_858066.2,XP_027428810.1,XP_045720840.1,PRKAR2B,False
XP_032258259.1,XP_005640700.1,XP_027444723.1,XP_045723959.1,CTDSP1,False
XP_032258260.1,XP_038310386.1,XP_027428802.1,XP_064431480.1,COG5,False
XP_032258261.1,XP_848983.1,XP_027428804.1,XP_045720842.1,HBP1,False
XP_032258266.1,XP_848879.1,XP_027428809.1,XP_045720850.1,GPR22,False
XP_032258268.1,XP_003640241.1,XP_027444724.1,XP_045723960.1,CTDSP1,False
XP_032258270.1,XP_022260911.1,XP_027428815.1,XP_045720845.1,DUS4L,False
XP_032258273.1,XP_005631007.1,XP_027430661.1,XP_045720848.1,BCAP29,False
XP_032258275.1,XP_038310436.1,XP_027428843.1,XP_064431486.1,SLC26A4,False
XP_032258281.1,NP_001013873.1,XP_027444720.1,XP_045723962.1,SLC11A1,False
XP_032258282.1,XP_540381.3,XP_027430106.1,XP_045720853.1,CBLL1,False
XP_032258284.1,NP_001003294.1,XP_027430586.1,XP_045720856.1,DLD,False
XP_032258286.1,XP_038310333.1,XP_027430584.2,XP_045720854.1,LAMB1,False
XP_032258287.1,XP_038310195.1,XP_027430585.2,XP_045720855.2,LAMB4,False
XP_032258314.1,XP_038309906.1,XP_035579140.1,XP_054361322.1,NRCAM,False
XP_032258318.1,XP_038309909.1,XP_027429511.2,XP_054361324.1,NRCAM,False
XP_032258321.1,XP_005630992.1,XP_027429578.1,XP_045720869.1,PNPLA8,False
XP_032258322.1,XP_038319657.1,XP_027443872.1,XP_045723965.1,PNKD,False
XP_032258325.1,XP_038309871.1,XP_035579294.1,XP_064431499.1,EPDR1,False
XP_032258327.1,XP_540376.2,XP_027429944.1,XP_064431500.1,STARD3NL,False
XP_032258328.1,XP_038319659.1,XP_027443875.1,XP_045723967.1,PNKD,False
XP_032258330.1,XP_038319660.1,XP_027443874.1,XP_045723966.1,TMBIM1,False
XP_032258333.1,NP_001013872.1,XP_027443871.1,XP_045723969.1,AAMP,False
XP_032258334.1,XP_005640698.2,XP_027446092.1,XP_045723970.2,GPBAR1,False
XP_032258336.1,XP_013962882.1,XP_027444931.2,XP_045725192.1,GTF3A,False
XP_032258337.1,XP_038319561.1,XP_027444759.1,XP_045723971.1,ARPC2,False
XP_032258342.1,XP_848278.2,XP_035582734.1,XP_064441843.1,ATP12A,False
XP_032258346.1,NP_001041498.1,XP_027446074.1,XP_045723819.2,F7,False
XP_032258348.1,XP_038319588.1,XP_027446549.1,XP_045723977.1,TNS1,False
XP_032258349.1,NP_001002968.1,XP_027446834.1,XP_045723811.1,SLC10A2,False
XP_032258350.1,XP_003639859.1,XP_027446716.2,XP_045725643.1,POGLUT2,False
XP_032258351.1,XP_038312699.1,XP_027445859.1,XP_045723810.2,ZIC2,False
XP_032258356.1,XP_013966400.2,XP_027446554.1,XP_045723975.1,TNS1,False
XP_032258373.1,XP_852885.1,XP_027445314.1,XP_045723985.1,IGFBP5,False
XP_032258375.1,XP_022264079.1,XP_027443765.1,XP_064441839.1,OLFM4,False
XP_032258376.1,XP_851765.1,XP_027446601.1,XP_045723491.1,TNFSF11,False
XP_032258377.1,XP_534125.2,XP_027447151.1,XP_045723489.1,CBY2,False
XP_032258378.1,XP_005633957.1,XP_027447154.1,XP_045723490.1,CBY2,False
XP_032258379.1,XP_038319754.1,XP_027446943.2,XP_045723986.2,IGFBP2,False
XP_032258380.1,XP_851154.1,XP_027445980.1,XP_045723487.1,CPB2,False
XP_032258381.1,XP_003433130.1,XP_027445652.1,XP_045725398.1,NUDT15,False
XP_032258382.1,NP_001121536.1,XP_027446473.1,XP_045723486.1,MLNR,False
XP_032258384.1,XP_005635454.1,XP_027446884.1,XP_064442219.1,CKAP2,False
XP_032258385.1,XP_022265715.1,XP_027446078.1,XP_064441840.1,STOML3,False
XP_032258386.1,XP_022270957.1,XP_027446984.1,XP_045749951.1,RPL37A,False
XP_032258387.1,XP_038314510.1,XP_027446737.1,XP_045723480.1,KL,False
XP_032258388.1,XP_534509.1,XP_027445371.2,XP_045725241.1,ZAR1L,False
XP_032258389.1,NP_001005870.1,XP_027446288.1,XP_045724486.1,RXFP2,False
XP_032258390.1,XP_543153.4,XP_027446260.1,XP_045724483.1,URAD,False
XP_032258391.1,XP_543154.2,XP_027443814.1,XP_045723478.1,CDX2,False
XP_032258392.1,XP_038319793.1,XP_027446454.1,XP_064441903.1,MPP4,False
XP_032258393.1,NP_001271400.1,XP_027446964.1,XP_045723477.1,PDX1,False
XP_032258394.1,XP_003639922.1,XP_027446089.1,XP_064442342.1,RASL11A,False
XP_032258399.1,XP_851725.1,XP_027446290.1,XP_045725136.1,MRPL57,False
XP_032258401.1,NP_001184077.1,XP_027445623.1,XP_045725096.1,GJB2,False
XP_032258403.1,XP_543178.3,XP_027445937.1,XP_045723469.1,GJA3,False
XP_032258404.1,XP_022261709.1,XP_035582718.1,XP_064441883.1,LOC609557,False
XP_032258405.1,XP_005633899.1,XP_027446404.1,XP_045723483.1,CCDC70,False
XP_032258406.1,XP_003639921.2,XP_027443907.1,XP_045723476.1,GSX1,False
XP_032258411.1,XP_022270956.1,XP_027445169.2,XP_045723990.1,SMARCAL1,False
XP_032258413.1,XP_022263899.1,XP_027446132.1,XP_054361880.2,C22H13orf46,False
XP_032258414.1,XP_022263890.2,XP_027446507.2,XP_064441826.1,TMEM255B,False
XP_032258415.1,XP_534188.1,XP_027446688.1,XP_064441965.1,TEX29,False
XP_032258418.1,XP_038319384.1,XP_027446555.1,XP_045724791.2,GALNT5,False
XP_032258427.1,XP_545636.3,XP_027445170.2,XP_045723306.1,MARCHF4,False
XP_032258430.1,XP_536061.6,XP_027445532.1,XP_045723997.1,XRCC5,False
XP_032258431.1,XP_022264057.2,XP_027446898.1,XP_045725460.1,FAM216B,False
XP_032258433.1,XP_013961913.1,XP_027447148.1,XP_045724517.2,ERICH6B,False
XP_032258434.1,XP_013961941.1,XP_035582421.1,XP_045725739.1,CHAMP1,False
XP_032258435.1,XP_849752.2,XP_027444076.1,XP_064441924.1,UPF3A,False
XP_032258440.1,XP_848577.1,XP_027444079.1,XP_045725730.1,CDC16,False
XP_032258443.1,XP_022263907.1,XP_027446740.1,XP_064441825.1,CFAP97D2,False
XP_032258444.1,XP_005634195.1,XP_027445306.1,XP_064441932.1,RASA3,False
XP_032258446.1,XP_038312763.1,XP_027445178.2,XP_045724516.1,LRRC63,False
XP_032258447.1,XP_038312535.1,XP_027446823.1,XP_045725724.1,GAS6,False
XP_032258450.1,XP_003639862.2,XP_027446220.1,XP_045723824.1,GRK1,False
XP_032258451.1,XP_038312712.1,XP_027446221.1,XP_045723823.1,ATP4B,False
XP_032258452.1,XP_022263887.1,XP_027446744.1,XP_045725721.1,TFDP1,False
XP_032258453.1,XP_038312628.1,XP_027445498.2,XP_045725713.1,TMCO3,False
XP_032258454.1,XP_005634192.1,XP_027445499.2,XP_045725714.1,TMCO3,False
XP_032258458.1,XP_005634184.1,XP_027446199.1,XP_045725710.1,ADPRHL1,False
XP_032258459.1,XP_534194.4,XP_027445893.2,XP_045725708.1,GRTP1,False
XP_032258461.1,XP_534193.2,XP_027444117.1,XP_045725707.1,LAMP1,False
XP_032258463.1,XP_849542.3,XP_027446343.2,XP_064441948.1,CUL4A,False
XP_032258464.1,XP_534192.3,XP_027446345.1,XP_064441951.1,PCID2,False
XP_032258467.1,XP_534191.1,XP_027443796.2,XP_045725698.1,F10,False
XP_032258470.1,XP_005634171.1,XP_027445963.1,XP_045725693.1,MCF2L,False
XP_032258473.1,XP_005634173.1,XP_027445972.1,XP_064441954.1,MCF2L,False
XP_032258476.1,XP_038312624.1,XP_027445973.1,XP_045725696.1,MCF2L,False
XP_032258481.1,XP_852781.1,XP_027445535.1,XP_064443090.1,TMEM169,False
XP_032258482.1,XP_005634168.2,XP_027444825.2,XP_045725683.2,ATP11A,False
XP_032258483.1,XP_013961927.2,XP_027444826.2,XP_045725686.1,ATP11A,False
XP_032258486.1,XP_005634169.2,XP_027444829.2,XP_054362390.1,ATP11A,False
XP_032258488.1,XP_534189.2,XP_027445605.1,XP_045725682.1,TUBGCP3,False
XP_032258490.1,XP_849239.2,XP_027447287.1,XP_064441834.1,SOX1,False
XP_032258494.1,NP_001239068.1,XP_027446997.1,XP_045724003.1,PECR,False
XP_032258495.1,XP_038312681.1,XP_027446674.1,XP_045725672.1,ARHGEF7,False
XP_032258496.1,XP_038312682.1,XP_027446675.1,XP_045725675.1,ARHGEF7,False
XP_032258497.1,XP_005634157.1,XP_027446676.1,XP_045725676.1,ARHGEF7,False
XP_032258501.1,XP_848327.1,XP_027444185.2,XP_045725669.1,ANKRD10,False
XP_032258502.1,XP_534185.1,XP_027445432.1,XP_045725667.2,ING1,False
XP_032258503.1,XP_022263862.2,XP_027445377.1,XP_045725665.1,CARS2,False
XP_032258504.1,XP_038312718.1,XP_027445380.1,XP_054362383.1,NAXD,False
XP_032258506.1,XP_038312717.1,XP_027445381.1,XP_045725666.1,NAXD,False
XP_032258507.1,XP_542668.2,XP_027446060.1,XP_045725663.1,RAB20,False
XP_032258509.1,XP_038312825.1,XP_035582691.1,XP_045725659.1,COL4A2,False
XP_032258512.1,XP_038312774.1,XP_027444579.2,XP_045724495.2,SERPINE3,False
XP_032258513.1,XP_038312679.1,XP_027445144.1,XP_045725657.1,IRS2,False
XP_032258516.1,XP_038319642.1,XP_027447087.1,XP_045726114.1,MREG,False
XP_032258517.1,XP_038312689.1,XP_027446236.2,XP_064441835.1,MYO16,False
XP_032258522.1,XP_022263860.1,XP_027446791.2,XP_064441978.1,ABHD13,False
XP_032258523.1,NP_001155182.1,XP_027446795.1,XP_045725656.1,TNFSF13B,False
XP_032258528.1,XP_038319550.1,XP_027443974.2,XP_045724014.1,FN1,False
XP_032258529.1,XP_542663.2,XP_027446790.1,XP_045725652.1,LIG4,False
XP_032258531.1,XP_022263932.2,XP_027443855.1,XP_045724539.2,FAM155A,False
XP_032258534.1,XP_038312495.1,XP_027444305.1,XP_045725649.1,ARGLU1,False
XP_032258536.1,NP_001107768.1,XP_027445769.1,XP_045725647.1,EFNB2,False
XP_032258541.1,XP_038312677.1,XP_027446695.1,XP_045725645.1,LOC100855548,False
XP_032258546.1,NP_001239277.1,XP_027446714.1,XP_045725641.1,BIVM,False
XP_032258548.1,XP_038312674.1,XP_027446709.1,XP_045725640.1,ERCC5,False
XP_032258550.1,XP_038312547.1,XP_027446502.2,XP_064441982.1,CCDC168,False
XP_032258551.1,XP_013961916.1,XP_027446501.1,XP_045725638.1,METTL21C,False
XP_032258552.1,XP_003639858.1,XP_027447340.1,XP_045725639.1,TEX30,False
XP_032258557.1,XP_005634119.1,XP_027445577.1,XP_045725633.2,TPP2,False
XP_032258558.1,XP_003639855.1,XP_027445578.1,XP_045725634.2,TPP2,False
XP_032258559.1,XP_542655.2,XP_027445890.1,XP_045725627.1,ITGBL1,False
XP_032258561.1,XP_003433117.1,XP_027446858.1,XP_045725628.1,FGF14,False
XP_032258562.1,XP_038312784.1,XP_027446859.1,XP_045725629.1,FGF14,False
XP_032258567.1,XP_022263840.1,XP_027446340.2,XP_064441993.1,NALCN,False
XP_032258570.1,XP_005634114.2,XP_027446095.1,XP_045725620.1,TMTC4,False
XP_032258574.1,XP_534175.2,XP_035582394.1,XP_045725613.1,PCCA,False
XP_032258577.1,XP_038312566.1,XP_027443934.1,XP_054362377.1,GGACT,False
XP_032258579.1,XP_854266.3,XP_027443847.2,XP_045723809.1,ZIC5,False
XP_032258580.1,XP_022263830.1,XP_027445928.1,XP_064442001.1,CLYBL,False
XP_032258581.1,XP_534172.2,XP_027445894.1,XP_045725612.1,TM9SF2,False
XP_032258585.1,XP_005634101.2,XP_027444346.1,XP_045725609.1,GPR183,False
XP_032258586.1,XP_013961860.1,XP_027444349.1,XP_064442003.1,UBAC2,False
XP_032258587.1,XP_542650.1,XP_027444347.1,XP_045725610.1,GPR18,False
XP_032258591.1,XP_022263826.1,XP_027446429.1,XP_045725596.1,DOCK9,False
XP_032258597.1,XP_013961791.1,XP_027446438.1,XP_045725599.1,DOCK9,False
XP_032258603.1,XP_038312814.1,XP_027446443.1,XP_045725601.1,DOCK9,False
XP_032258606.1,XP_005634095.1,XP_027446437.1,XP_045725602.1,DOCK9,False
XP_032258609.1,XP_005634100.1,XP_027446442.1,XP_045725603.1,DOCK9,False
XP_032258611.1,NP_001003036.1,XP_027447283.1,XP_045725605.1,SLC15A1,False
XP_032258613.1,XP_038312529.1,XP_035582470.1,XP_045725581.2,FARP1,False
XP_032258616.1,XP_038312527.1,XP_027445084.1,XP_045725586.1,STK24,False
XP_032258617.1,XP_038312586.1,XP_027445048.1,XP_045725580.1,IPO5,False
XP_032258618.1,XP_005634148.2,XP_027444852.1,XP_045725579.1,RAP2A,False
XP_032258622.1,XP_005634083.1,XP_027444847.1,XP_054362369.1,MBNL2,False
XP_032258624.1,XP_005634085.1,XP_027444848.1,XP_045725574.1,MBNL2,False
XP_032258626.1,XP_858933.1,XP_027444850.1,XP_045725575.1,MBNL2,False
XP_032258627.1,XP_005634086.1,XP_027444851.1,XP_045725576.1,MBNL2,False
XP_032258628.1,XP_005634080.1,XP_027447184.1,XP_045723761.1,OXGR1,False
XP_032258629.1,XP_038312707.1,XP_027445081.2,XP_045725570.1,HS6ST3,False
XP_032258630.1,XP_022263802.1,XP_027443885.1,XP_045725563.1,UGGT2,False
XP_032258631.1,XP_545634.2,XP_027445707.1,XP_045724018.1,ATIC,False
XP_032258636.1,XP_038312530.1,XP_027443884.1,XP_045725567.1,DNAJC3,False
XP_032258638.1,NP_001159480.1,XP_027445711.2,XP_045725560.1,DZIP1,False
XP_032258640.1,XP_534163.2,XP_027445716.1,XP_045723759.1,CLDN10,False
XP_032258642.1,XP_858821.1,XP_027445717.1,XP_045723760.1,CLDN10,False
XP_032258643.1,NP_001184103.1,XP_027446285.1,XP_064442018.1,ABCC4,False
XP_032258646.1,XP_542641.2,XP_027446334.1,XP_045726098.1,GPR180,False
XP_032258652.1,XP_038312703.1,XP_027447280.1,XP_045726097.1,SOX21,False
XP_032258653.1,XP_542640.3,XP_027445384.1,XP_045726102.1,TGDS,False
XP_032258657.1,NP_001271395.1,XP_027446707.1,XP_064441836.1,DCT,False
XP_032258661.1,XP_534162.3,XP_027446689.1,XP_045725557.1,GPC6,False
XP_032258663.1,XP_542637.4,XP_027445523.1,XP_064441830.1,GPC5,False
XP_032258671.1,XP_038420458.1,XP_035578243.1,XP_054363987.1,C7H1orf21,False
XP_032258674.1,XP_849372.1,XP_027447025.1,XP_045723703.2,SLITRK5,False
XP_032258676.1,XP_038319797.1,XP_027447284.1,XP_045724019.1,BARD1,False
XP_032258677.1,XP_005634068.1,XP_027445939.1,XP_045725556.1,SLITRK6,False
XP_032258678.1,XP_005634067.1,XP_027447046.1,XP_045723691.1,SLITRK1,False
XP_032258680.1,XP_003433107.1,XP_027447122.1,XP_045725554.1,SPRY2,False
XP_032258682.1,XP_534156.2,XP_027444920.1,XP_045725553.1,NDFIP2,False
XP_032258683.1,XP_038312791.1,XP_035582376.1,XP_045725545.1,RBM26,False
XP_032258685.1,XP_013961845.1,XP_035582379.1,XP_045725548.1,RBM26,False
XP_032258686.1,XP_013961847.1,XP_035582381.1,XP_045725550.1,RBM26,False
XP_032258691.1,XP_013961852.1,XP_035582384.1,XP_064442031.1,RBM26,False
XP_032258694.1,XP_534154.2,XP_027446830.1,XP_045725543.1,OBI1,False
XP_032258696.1,XP_853356.3,XP_027445896.1,XP_064442034.1,SLAIN1,False
XP_032258699.1,XP_022263772.1,XP_027447204.1,XP_064442048.1,SCEL,False
XP_032258705.1,XP_038319796.1,XP_027445690.1,XP_064443081.1,SPAG16,False
XP_032258706.1,XP_013961763.1,XP_027447358.1,XP_064442035.1,MYCBP2,False
XP_032258708.1,XP_013961765.1,XP_027447361.1,XP_064442037.1,MYCBP2,False
XP_032258710.1,XP_005634042.1,XP_027447362.1,XP_064442038.1,MYCBP2,False
XP_032258712.1,XP_013961767.1,XP_027447363.1,XP_064442042.1,MYCBP2,False
XP_032258713.1,XP_038312575.1,XP_027447364.1,XP_064442044.1,MYCBP2,False
XP_032258714.1,XP_857946.2,XP_027447365.1,XP_064442043.1,MYCBP2,False
XP_032258718.1,XP_022263742.1,XP_027444023.1,XP_045725538.2,FBXL3,False
XP_032258719.1,NP_001011556.1,XP_027444024.1,XP_045725537.1,CLN5,False
XP_032258721.1,XP_542615.5,XP_027444020.2,XP_045724527.1,ACOD1,False
XP_032258722.1,XP_542614.3,XP_027444026.1,XP_045725536.1,KCTD12,False
XP_032258725.1,XP_038314758.1,XP_035582548.1,XP_064442594.1,LOC476149,False
XP_032258732.1,XP_534147.3,XP_027445187.1,XP_045725529.1,UCHL3,False
XP_032258733.1,XP_534146.4,XP_027445189.1,XP_045725527.1,COMMD6,False
XP_032258743.1,XP_038312742.1,XP_027445182.2,XP_045725526.2,TBC1D4,False
XP_032258759.1,XP_038312476.1,XP_027445785.1,XP_045725523.1,KLF12,False
XP_032258760.1,XP_849076.2,XP_027445703.1,XP_045725521.1,KLF5,False
XP_032258761.1,XP_534145.3,XP_027445698.1,XP_045725520.1,PIBF1,False
XP_032258764.1,XP_542610.3,XP_027444474.1,XP_045725515.1,DIS3,False
XP_032258765.1,XP_850763.2,XP_027445610.1,XP_064443077.1,IKZF2,False
XP_032258768.1,XP_038312698.1,XP_027444477.1,XP_045725517.1,BORA,False
XP_032258771.1,XP_003433102.2,XP_027444479.1,XP_045725519.1,MZT1,False
XP_032258772.1,XP_038312713.1,XP_027446773.2,XP_064442081.1,DACH1,False
XP_032258773.1,XP_542606.5,XP_027445820.1,XP_045723501.1,KLHL1,False
XP_032258776.1,XP_848939.1,XP_027444106.1,XP_045725512.2,PCDH9,False
XP_032258782.1,XP_005634010.2,XP_027446372.2,XP_045725509.1,PCDH20,False
XP_032258784.1,XP_038312485.1,XP_027444864.1,XP_045725506.1,TDRD3,False
XP_032258785.1,XP_038312488.1,XP_027444865.1,XP_054362332.1,TDRD3,False
XP_032258790.1,XP_542593.3,XP_027447158.1,XP_064442091.1,DIAPH3,False
XP_032258794.1,XP_038312695.1,XP_035582684.1,XP_045725503.1,PCDH17,False
XP_032258795.1,XP_542588.2,XP_027443763.2,XP_064442095.1,LOC485469,False
XP_032258796.1,XP_857266.1,XP_027443764.2,XP_064442096.1,LOC485469,False
XP_032258799.1,XP_005633996.2,XP_027447021.1,XP_045725501.1,SUGT1,False
XP_032258804.1,XP_534137.1,XP_035582416.1,XP_054362324.1,ELF1,False
XP_032258805.1,XP_038312732.1,XP_035582417.1,XP_045725496.1,ELF1,False
XP_032258808.1,XP_534136.2,XP_027444102.1,XP_045725500.1,WBP4,False
XP_032258809.1,XP_013961883.1,XP_027446966.1,XP_045725489.1,KBTBD6,False
XP_032258810.1,XP_542586.1,XP_027447120.1,XP_045725488.1,KBTBD7,False
XP_032258811.1,XP_038312642.1,XP_027444665.1,XP_045725477.1,NAA16,False
XP_032258812.1,XP_038312643.1,XP_027444666.1,XP_045725478.1,NAA16,False
XP_032258816.1,XP_848713.3,XP_027444677.1,XP_064442111.1,MTRF1,False
XP_032258821.1,XP_038312687.1,XP_027446036.1,XP_045725476.1,RGCC,False
XP_032258825.1,XP_038312775.1,XP_027444521.1,XP_045725469.1,VWA8,False
XP_032258830.1,XP_005640673.1,XP_027445615.1,XP_064443080.1,IKZF2,False
XP_032258832.1,XP_038312518.1,XP_027444333.1,XP_064442124.1,DGKH,False
XP_032258834.1,XP_038312519.1,XP_027444338.1,XP_064442127.1,DGKH,False
XP_032258837.1,XP_038312517.1,XP_027444331.1,XP_045725463.1,AKAP11,False
XP_032258838.1,XP_851781.2,XP_027444329.1,XP_064442130.1,AKAP11,False
XP_032258841.1,XP_022264050.1,XP_027446893.1,XP_045725458.1,EPSTI1,False
XP_032258852.1,XP_038312559.1,XP_035582802.1,XP_054362311.1,ENOX1,False
XP_032258855.1,XP_003640239.1,XP_027446227.1,XP_064441910.1,ERBB4,False
XP_032258862.1,XP_534129.1,XP_027447192.1,XP_064442140.1,LACC1,False
XP_032258864.1,XP_038312505.1,XP_027447197.1,XP_064442144.1,CCDC122,False
XP_032258867.1,XP_005633970.1,XP_027443806.1,XP_045725447.1,SERP2,False
XP_032258868.1,XP_534128.4,XP_027447124.2,XP_064442149.1,TSC22D1,False
XP_032258870.1,XP_003639849.1,XP_027447128.1,XP_045725442.1,TSC22D1,False
XP_032258873.1,XP_542577.2,XP_027446369.1,XP_045725438.1,NUFIP1,False
XP_032258874.1,XP_005633962.1,XP_027446371.1,XP_045725439.1,GPALPP1,False
XP_032258875.1,XP_038312693.1,XP_027447017.1,XP_045725436.1,KCTD4,False
XP_032258876.1,XP_851466.2,XP_027447018.1,XP_045725437.1,GTF2F2,False
XP_032258879.1,XP_005633960.1,XP_027444172.1,XP_045725434.1,TPT1,False
XP_032258881.1,XP_848489.1,XP_027443889.2,XP_045725426.1,COG3,False
XP_032258885.1,XP_851381.2,XP_027446053.1,XP_064442161.1,SLC25A30,False
XP_032258886.1,XP_542573.4,XP_027443842.1,XP_045723488.1,SIAH3,False
XP_032258888.1,XP_022264009.2,XP_027444660.1,XP_045725418.2,ZC3H13,False
XP_032258891.1,XP_545627.2,XP_035582717.1,XP_054362000.1,CPS1,False
XP_032258892.1,XP_005633954.2,XP_027444662.1,XP_045725423.2,ZC3H13,False
XP_032258893.1,XP_542572.3,XP_027444663.1,XP_045725424.2,ZC3H13,False
XP_032258895.1,XP_038312482.1,XP_035582547.1,XP_054362298.2,LCP1,False
XP_032258903.1,XP_013961877.1,XP_027444231.2,XP_064442168.1,RUBCNL,False
XP_032258904.1,XP_038312525.1,XP_027444634.2,XP_045725413.1,LRCH1,False
XP_032258910.1,XP_848369.1,XP_027446214.1,XP_064442174.1,ESD,False
XP_032258912.1,NP_001005869.1,XP_027447279.1,XP_064442177.1,HTR2A,False
XP_032258913.1,XP_038312729.1,XP_027445651.1,XP_045725400.1,SUCLA2,False
XP_032258914.1,XP_536055.1,XP_027445518.1,XP_045724031.1,LANCL1,False
XP_032258917.1,XP_005642527.2,XP_027445885.1,XP_045725397.1,MED4,False
XP_032258918.1,XP_038312839.1,XP_027444959.1,XP_045725396.1,ITM2B,False
XP_032258919.1,XP_038312838.1,XP_027444925.2,XP_045725394.2,RB1,False
XP_032258920.1,XP_022263997.1,XP_027444927.1,XP_045725395.1,LPAR6,False
XP_032258926.1,XP_038312831.1,XP_027445132.1,XP_045725389.1,RCBTB2,False
XP_032258934.1,XP_022263987.2,XP_027443825.1,XP_064442183.1,CYSLTR2,False
